INFO  - 2020-06-30 14:48:58.308; org.apache.solr.core.RequestHandlers; created /update/csv: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2020-06-30 14:48:58.309; org.apache.solr.core.RequestHandlers; created /update/json/docs: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2020-06-30 14:48:58.323; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2020-06-30 14:48:58.324; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2020-06-30 14:48:58.330; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2020-06-30 14:48:58.331; org.apache.solr.core.RequestHandlers; created /export: solr.SearchHandler
INFO  - 2020-06-30 14:48:58.332; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
WARN  - 2020-06-30 14:48:58.337; org.apache.solr.core.RequestHandlers; Multiple requestHandler registered to the same name: /update ignoring: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2020-06-30 14:48:58.337; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2020-06-30 14:48:58.337; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2020-06-30 14:48:58.342; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
INFO  - 2020-06-30 14:48:58.342; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2020-06-30 14:48:58.343; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2020-06-30 14:48:58.343; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2020-06-30 14:48:58.344; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2020-06-30 14:48:58.348; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2020-06-30 14:48:58.354; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2020-06-30 14:48:58.362; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
INFO  - 2020-06-30 14:48:58.386; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2020-06-30 14:48:58.386; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2020-06-30 14:48:58.387; org.apache.solr.core.RequestHandlers; created /spell: solr.SearchHandler
INFO  - 2020-06-30 14:48:58.388; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2020-06-30 14:48:58.388; org.apache.solr.core.RequestHandlers; created /tvrh: solr.SearchHandler
INFO  - 2020-06-30 14:48:58.389; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2020-06-30 14:48:58.390; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2020-06-30 14:48:58.390; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2020-06-30 14:48:58.391; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2020-06-30 14:48:58.435; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2020-06-30 14:48:58.449; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2020-06-30 14:48:58.451; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2020-06-30 14:48:58.452; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2020-06-30 14:48:58.454; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2020-06-30 14:48:58.535; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2020-06-30 14:48:58.536; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2020-06-30 14:48:58.655; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@D:\WorkSpace\solr\solrHome\collection1\data\index lockFactory=NativeFSLockFactory@D:\WorkSpace\solr\solrHome\collection1\data\index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1b,generation=47}
INFO  - 2020-06-30 14:48:58.657; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 47
INFO  - 2020-06-30 14:48:58.724; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@75fe8a51[collection1] main
INFO  - 2020-06-30 14:48:58.737; org.apache.solr.rest.ManagedResourceStorage$FileStorageIO; File-based storage initialized to use dir: D:\WorkSpace\solr\solrHome\collection1\conf
INFO  - 2020-06-30 14:48:58.738; org.apache.solr.rest.RestManager; Initializing RestManager with initArgs: {storageDir=D:\WorkSpace\solr\solrHome\collection1\conf}
INFO  - 2020-06-30 14:48:58.741; org.apache.solr.rest.ManagedResourceStorage; Reading _rest_managed.json using file:dir=D:\WorkSpace\solr\solrHome\collection1\conf
INFO  - 2020-06-30 14:48:58.749; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _rest_managed.json using file:dir=D:\WorkSpace\solr\solrHome\collection1\conf
INFO  - 2020-06-30 14:48:58.750; org.apache.solr.rest.ManagedResource; Loaded initArgs {} for /rest/managed
INFO  - 2020-06-30 14:48:58.751; org.apache.solr.rest.RestManager; Initializing 2 registered ManagedResources
INFO  - 2020-06-30 14:48:58.752; org.apache.solr.rest.ManagedResourceStorage; Reading _schema_analysis_stopwords_english.json using file:dir=D:\WorkSpace\solr\solrHome\collection1\conf
INFO  - 2020-06-30 14:48:58.754; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _schema_analysis_stopwords_english.json using file:dir=D:\WorkSpace\solr\solrHome\collection1\conf
INFO  - 2020-06-30 14:48:58.754; org.apache.solr.rest.ManagedResource; Loaded initArgs {ignoreCase=true} for /schema/analysis/stopwords/english
INFO  - 2020-06-30 14:48:58.755; org.apache.solr.rest.schema.analysis.ManagedWordSetResource; Loaded 35 words for /schema/analysis/stopwords/english
INFO  - 2020-06-30 14:48:58.755; org.apache.solr.rest.ManagedResource; Notified 1 observers of /schema/analysis/stopwords/english
INFO  - 2020-06-30 14:48:58.756; org.apache.solr.rest.ManagedResourceStorage; Reading _schema_analysis_synonyms_english.json using file:dir=D:\WorkSpace\solr\solrHome\collection1\conf
INFO  - 2020-06-30 14:48:58.757; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _schema_analysis_synonyms_english.json using file:dir=D:\WorkSpace\solr\solrHome\collection1\conf
INFO  - 2020-06-30 14:48:58.757; org.apache.solr.rest.ManagedResource; Loaded initArgs {ignoreCase=true,format=solr} for /schema/analysis/synonyms/english
INFO  - 2020-06-30 14:48:58.759; org.apache.solr.rest.schema.analysis.ManagedSynonymFilterFactory$SynonymManager; Loaded 3 synonym mappings for /schema/analysis/synonyms/english
INFO  - 2020-06-30 14:48:58.766; org.apache.solr.rest.ManagedResource; Notified 1 observers of /schema/analysis/synonyms/english
INFO  - 2020-06-30 14:48:58.766; org.apache.solr.handler.component.SpellCheckComponent; Initializing spell checkers
INFO  - 2020-06-30 14:48:58.788; org.apache.solr.spelling.DirectSolrSpellChecker; init: {name=default,field=text,classname=solr.DirectSolrSpellChecker,distanceMeasure=internal,accuracy=0.5,maxEdits=2,minPrefix=1,maxInspections=5,minQueryLength=4,maxQueryFrequency=0.01}
INFO  - 2020-06-30 14:48:58.810; org.apache.solr.handler.component.SpellCheckComponent; No queryConverter defined, using default converter
INFO  - 2020-06-30 14:48:58.816; org.apache.solr.handler.component.QueryElevationComponent; Loading QueryElevation from: D:\WorkSpace\solr\solrHome\collection1\conf\elevate.xml
INFO  - 2020-06-30 14:48:58.892; org.apache.solr.handler.ReplicationHandler; Commits will be reserved for  10000
INFO  - 2020-06-30 14:48:58.894; org.apache.solr.core.QuerySenderListener; QuerySenderListener sending requests to Searcher@75fe8a51[collection1] main{StandardDirectoryReader(segments_1b:111:nrt _15(4.10.3):C2125 _16(4.10.3):C1 _17(4.10.3):C1)}
INFO  - 2020-06-30 14:48:59.003; org.apache.solr.core.SolrCore; [collection1] webapp=null path=null params={q=static+firstSearcher+warming+in+solrconfig.xml&distrib=false&event=firstSearcher} hits=0 status=0 QTime=103 
INFO  - 2020-06-30 14:48:59.005; org.apache.solr.core.QuerySenderListener; QuerySenderListener done.
INFO  - 2020-06-30 14:48:59.005; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: default
INFO  - 2020-06-30 14:48:59.006; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: wordbreak
